GIMBAL LOG ANALYSIS REPORT
==================================================

Commands analyzed: 2300
Time period: 2025-09-08 15:34:54 to 2025-09-08 16:31:00

SAMPLE COMMANDS (every 10th entry):
Time          | Target Y/P    | Current Y/P   | Error Y/P     | Speed Y/P
15:38:01 |   86.1/-51.4 |   82.3/-47.8 |   +3.8/ -3.6 |  +2/ -2
15:38:03 |   85.6/-51.4 |   82.1/-47.8 |   +3.5/ -3.6 |  +2/ -2
15:38:05 |   85.0/-51.4 |   82.1/-47.8 |   +2.9/ -3.6 |  +2/ -2
15:38:07 |   84.6/-51.4 |   82.0/-47.8 |   +2.6/ -3.6 |  +2/ -2
15:38:09 |   84.2/-51.4 |   81.8/-47.8 |   +2.4/ -3.6 |  +2/ -2
15:38:11 |   83.9/-51.4 |   81.7/-47.8 |   +2.2/ -3.6 |  +2/ -2
15:38:13 |   83.6/-51.4 |   81.6/-47.8 |   +2.0/ -3.6 |  +2/ -2
15:38:15 |   83.2/-51.4 |   81.6/-47.8 |   +1.6/ -3.6 |  +2/ -2
15:38:17 |   83.0/-51.4 |   81.4/-47.8 |   +1.6/ -3.6 |  +2/ -2
15:38:19 |   82.6/-51.4 |   81.2/-47.8 |   +1.4/ -3.6 |  +2/ -2
15:38:21 |   82.2/-51.4 |   81.1/-47.8 |   +1.1/ -3.6 |  +2/ -2
15:38:23 |   82.1/-51.4 |   80.9/-47.8 |   +1.2/ -3.6 |  +2/ -2
15:38:25 |   82.0/-51.4 |   81.0/-47.8 |   +1.0/ -3.6 |  +2/ -2
15:38:27 |   81.4/-51.4 |   80.6/-47.8 |   +0.8/ -3.6 |  +0/ -2
15:38:29 |   81.6/-51.4 |   80.5/-47.8 |   +1.1/ -3.6 |  +2/ -2
15:38:31 |   81.6/-51.4 |   80.6/-47.8 |   +1.0/ -3.6 |  +0/ -2
15:38:33 |   81.2/-51.4 |   80.4/-47.8 |   +0.8/ -3.6 |  +0/ -2
15:38:35 |   81.5/-51.4 |   80.3/-47.8 |   +1.2/ -3.6 |  +2/ -2
15:38:37 |   81.6/-51.4 |   80.1/-47.8 |   +1.5/ -3.6 |  +2/ -2
15:38:39 |   81.7/-51.4 |   80.0/-47.8 |   +1.7/ -3.6 |  +2/ -2
15:38:41 |   81.4/-51.4 |   79.8/-47.8 |   +1.6/ -3.6 |  +2/ -2
15:38:43 |   81.7/-51.4 |   79.7/-47.8 |   +2.0/ -3.6 |  +2/ -2
